index_row_id,source_id,source_name,split,split_short,split_reason,label,raw_valence,bbox_subset,fake_group,clip_id,event_id,clip_name,source_video_id,source_video_name,bbox_mp4_path,selected_id_csv,annotation_csv,clip_path,stage1_folder,stage1_manifest,tracking_csv,keypoints_csv,stage1_video,start_frame,end_frame,source_start_frame,source_end_frame,clip_frame_offset,stage1_frame_offset,roi_x,roi_y,roi_w,roi_h,index_csv
old_20250530_v4c|GOOD|C000034_Interaction-1.mp4,1,old_20250530_v4c,train,trn,GOOD_default_train,friendly,friendly,GOOD,,C000034,C000034_E0001,C000034_Interaction-1.mp4,SV_INTERACTION-1_39453accf196,Interaction-1.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/GOOD/C000034_Interaction-1.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output_selected_IDs/C000034_Interaction-1.mp4.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/annotations/Grooming/C000034.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/videos/Grooming/C000034_Interaction-1.mp4,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_35,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_35/manifest.json,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_35/tracking_boxes.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_35/keypoints.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_35/Interaction-1.mp4,0,339,0,339,0,0,405.546,400.695,1706.882,1220.679,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/visualization_index.csv
old_20250530_v4c|GOOD|C000035_Interaction-8.mp4,1,old_20250530_v4c,train,trn,GOOD_default_train,friendly,friendly,GOOD,,C000035,C000035_E0001,C000035_Interaction-8.mp4,SV_INTERACTION-8_c590b7396ff2,Interaction-8.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/GOOD/C000035_Interaction-8.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output_selected_IDs/C000035_Interaction-8.mp4.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/annotations/Grooming/C000035.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/videos/Grooming/C000035_Interaction-8.mp4,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_39,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_39/manifest.json,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_39/tracking_boxes.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_39/keypoints.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_39/Interaction-8.mp4,0,623,0,623,0,0,474.511,435.178,2055.155,1541.366,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/visualization_index.csv
old_20250530_v4c|GOOD|C000036_Interaction-10.mp4,1,old_20250530_v4c,train,trn,GOOD_default_train,friendly,friendly,GOOD,,C000036,C000036_E0001,C000036_Interaction-10.mp4,SV_INTERACTION-10_9969c5460338,Interaction-10.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/GOOD/C000036_Interaction-10.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output_selected_IDs/C000036_Interaction-10.mp4.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/annotations/Grooming/C000036.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/videos/Grooming/C000036_Interaction-10.mp4,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_36,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_36/manifest.json,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_36/tracking_boxes.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_36/keypoints.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_36/Interaction-10.mp4,0,172,0,172,0,0,1091.747,259.317,1817.226,948.268,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/visualization_index.csv
old_20250530_v4c|GOOD|C000037_Interaction-32.mp4,1,old_20250530_v4c,train,trn,GOOD_default_train,friendly,friendly,GOOD,,C000037,C000037_E0001,C000037_Interaction-32.mp4,SV_INTERACTION-32_c63ed4deb46b,Interaction-32.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/GOOD/C000037_Interaction-32.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output_selected_IDs/C000037_Interaction-32.mp4.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/annotations/Grooming/C000037.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/videos/Grooming/C000037_Interaction-32.mp4,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_37,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_37/manifest.json,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_37/tracking_boxes.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_37/keypoints.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_37/Interaction-32.mp4,0,212,0,212,0,0,671.061,52.422,2196.533,2044.81,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/visualization_index.csv
old_20250530_v4c|GOOD|C000038_Interaction-42.mp4,1,old_20250530_v4c,train,trn,GOOD_default_train,friendly,friendly,GOOD,,C000038,C000038_E0001,C000038_Interaction-42.mp4,SV_INTERACTION-42_ca37e27cd9aa,Interaction-42.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/GOOD/C000038_Interaction-42.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output_selected_IDs/C000038_Interaction-42.mp4.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/annotations/Grooming/C000038.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/videos/Grooming/C000038_Interaction-42.mp4,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_38,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_38/manifest.json,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_38/tracking_boxes.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_38/keypoints.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_38/Interaction-42.mp4,0,326,0,326,0,0,371.064,538.625,3403.42,806.89,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/visualization_index.csv
old_20250530_v4c|GOOD|C000050_Interaction-27.mp4,1,old_20250530_v4c,train,trn,GOOD_default_train,friendly,friendly,GOOD,,C000050,C000050_E0001,C000050_Interaction-27.mp4,SV_INTERACTION-27_e05989e65cf5,Interaction-27.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/GOOD/C000050_Interaction-27.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output_selected_IDs/C000050_Interaction-27.mp4.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/annotations/Licking/C000050.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/videos/Licking/C000050_Interaction-27.mp4,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_51,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_51/manifest.json,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_51/tracking_boxes.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_51/keypoints.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_51/Interaction-27.mp4,0,3611,0,3611,0,0,160.721,621.383,3513.764,1020.681,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/visualization_index.csv
old_20250530_v4c|GOOD|C000051_Interaction-28.mp4,1,old_20250530_v4c,train,trn,GOOD_default_train,friendly,friendly,GOOD,,C000051,C000051_E0001,C000051_Interaction-28.mp4,SV_INTERACTION-28_61d26db9702d,Interaction-28.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/GOOD/C000051_Interaction-28.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output_selected_IDs/C000051_Interaction-28.mp4.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/annotations/Licking/C000051.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/videos/Licking/C000051_Interaction-28.mp4,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_52,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_52/manifest.json,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_52/tracking_boxes.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_52/keypoints.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_52/Interaction-28.mp4,0,11191,0,11191,0,0,157.272,580.004,3472.385,820.683,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/visualization_index.csv
old_20250530_v4c|GOOD|C000053_Interaction-47.mp4,1,old_20250530_v4c,train,trn,GOOD_default_train,friendly,friendly,GOOD,,C000053,C000053_E0001,C000053_Interaction-47.mp4,SV_INTERACTION-47_c713ebc6d315,Interaction-47.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/GOOD/C000053_Interaction-47.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output_selected_IDs/C000053_Interaction-47.mp4.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/annotations/Licking/C000053.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/videos/Licking/C000053_Interaction-47.mp4,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_54,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_54/manifest.json,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_54/tracking_boxes.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_54/keypoints.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_54/Interaction-47.mp4,0,1799,0,1799,0,0,253.823,135.18,3362.041,1782.744,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/visualization_index.csv
old_20250530_v4c|GOOD|C000054_Interaction-48.mp4,1,old_20250530_v4c,train,trn,GOOD_default_train,friendly,friendly,GOOD,,C000054,C000054_E0001,C000054_Interaction-48.mp4,SV_INTERACTION-48_5cfa7e5c6d71,Interaction-48.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/GOOD/C000054_Interaction-48.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output_selected_IDs/C000054_Interaction-48.mp4.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/annotations/Licking/C000054.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/videos/Licking/C000054_Interaction-48.mp4,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_55,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_55/manifest.json,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_55/tracking_boxes.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_55/keypoints.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_55/Interaction-48.mp4,0,1193,0,1193,0,0,284.858,100.698,3406.868,1796.537,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/visualization_index.csv
old_20250530_v4c|GOOD|C000055_Interaction-52.mp4,1,old_20250530_v4c,train,trn,GOOD_default_train,friendly,friendly,GOOD,,C000055,C000055_E0001,C000055_Interaction-52.mp4,SV_INTERACTION-52_4e7990df37c1,Interaction-52.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/GOOD/C000055_Interaction-52.mp4,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output_selected_IDs/C000055_Interaction-52.mp4.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/annotations/Licking/C000055.csv,/mnt/data4t/hyw/20250530/Interaction_Annotator_59/output/videos/Licking/C000055_Interaction-52.mp4,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_56,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_56/manifest.json,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_56/tracking_boxes.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_56/keypoints.csv,/mnt/data4t/hyw/20250530/V4C_S1_S2/V_56/Interaction-52.mp4,0,671,0,671,0,0,408.994,124.836,3231.007,1658.607,/mnt/data4t/hyw/20250530/BBOX_VIS-0529-V4C/output/visualization_index.csv
